"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2678209","","","","0"
"2025-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2603393","","","","0"
"2025-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2526773","","","","0"
"2021-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","608581","","","","0"
"2021-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","635008","","","","0"
"2022-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","591133","","","","0"
"2022-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","602403","","","","0"
"2022-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","681089","","","","0"
"2022-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","803300","","","","0"
"2023-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","866970","","","","0"
"2023-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","934003","","","","0"
"2023-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1045810","","","","0"
"2023-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1216177","","","","0"
"2024-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1279429","","","","0"
"2024-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1379319","","","","0"
"2024-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1446261","","","","0"
"2024-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1563402","","","","0"
"2025-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1566527","","","","0"
"2025-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1539319","","","","0"
"2025-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1519682","","","","0"
"2021-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","368708","","","","0"
"2021-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","426963","","","","0"
