"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.1","","","","1"
"2019-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.2","","","","1"
"2019-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.0","","","","1"
"2019-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.3","","","","1"
"2019-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.6","","","","1"
"2019-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","144.8","","","","1"
"2019-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","145.7","","","","1"
"2019-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","145.9","","","","1"
"2019-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.3","","","","1"
"2020-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.4","","","","1"
"2020-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.7","","","","1"
"2020-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.5","","","","1"
"2020-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.0","","","","1"
"2020-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","145.6","","","","1"
"2020-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.4","","","","1"
"2020-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.4","","","","1"
"2020-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","146.8","","","","1"
"2020-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","147.3","","","","1"
"2020-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","148.3","","","","1"
"2020-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","148.7","","","","1"
"2020-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","148.7","","","","1"
"2021-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","148.4","","","","1"
"2021-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","148.8","","","","1"
"2021-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","150.0","","","","1"
"2021-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","150.7","","","","1"
"2021-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","151.7","","","","1"
"2021-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","152.8","","","","1"
"2021-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","153.5","","","","1"
"2021-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","153.9","","","","1"
"2021-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","154.4","","","","1"
"2021-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","155.4","","","","1"
"2021-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","155.9","","","","1"
"2021-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","156.8","","","","1"
"2022-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","157.6","","","","1"
"2022-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","158.6","","","","1"
"2022-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","160.2","","","","1"
"2022-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","161.9","","","","1"
"2022-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","163.0","","","","1"
"2022-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","163.6","","","","1"
"2022-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","164.2","","","","1"
"2022-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","164.1","","","","1"
"2022-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","164.9","","","","1"
"2022-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","166.2","","","","1"
"2022-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","167.2","","","","1"
"2022-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","167.8","","","","1"
"2023-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","168.0","","","","1"
"2023-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","168.3","","","","1"
"2023-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","168.9","","","","1"
"2023-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","169.9","","","","1"
"2023-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","170.6","","","","1"
"2023-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","171.4","","","","1"
"2023-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","172.6","","","","1"
"2023-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","174.0","","","","1"
"2023-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","174.8","","","","1"
"2023-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","176.3","","","","1"
"2023-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","177.1","","","","1"
"2023-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","177.8","","","","1"
"2024-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","178.4","","","","1"
