"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","11353","","","","0"
"2015-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","16797","","","","0"
"2015-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5855","","","","0"
"2016-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5951","","","","0"
"2016-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","11057","","","","0"
"2016-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","25130","","","","0"
"2016-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10927","","","","0"
"2017-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","11151","","","","0"
"2017-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","16276","","","","0"
"2017-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","22826","","","","0"
"2017-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9928","","","","0"
"2018-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10148","","","","0"
"2018-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","15504","","","","0"
"2018-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","23266","","","","0"
"2018-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10202","","","","0"
"2019-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9374","","","","0"
"2019-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","14396","","","","0"
"2019-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","21602","","","","0"
"2019-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9297","","","","0"
"2020-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10225","","","","0"
"2020-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","4798","","","","0"
"2020-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","17383","","","","0"
"2020-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","8766","","","","0"
"2021-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","6686","","","","0"
"2021-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","8066","","","","0"
"2021-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","18555","","","","0"
"2021-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10889","","","","0"
"2022-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9082","","","","0"
"2022-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","13977","","","","0"
"2022-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","18489","","","","0"
"2022-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10054","","","","0"
"2023-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9361","","","","0"
"2023-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","13678","","","","0"
"2023-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","20331","","","","0"
"2023-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9917","","","","0"
"2024-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9570","","","","0"
"2024-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","13218","","","","0"
"2024-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","20949","","","","0"
"2024-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10220","","","","0"
"2025-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9855","","","","0"
"2025-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","13620","","","","0"
